Actual,Predicted
454.10095,1144.4832
1411.9994,1144.4832
2214.8493,1144.4832
2527.6092,1144.4832
2640.2034,1144.4832
2546.0816,1144.4832
2270.3207,1144.4832
1063.8302,1144.4832
86.817611,1144.4832
9.6666667,1144.4832
513.90842,1144.4832
1076.7197,1144.4832
1018.7148,1144.4832
2307.0852,1144.4832
2261.3353,1144.4832
1706.41,1144.4832
1385.8102,1144.4832
547.77553,1144.4832
61.566961,1144.4832
419.20845,1144.4832
1371.9036,1144.4832
2154.5695,1144.4832
2456.0311,1144.4832
2536.1985,1144.4832
2462.3889,1144.4832
2202.6894,1144.4832
1046.8986,1144.4832
88.940216,1144.4832
418.46229,1144.4832
1300.4193,1144.4832
2143.0744,1144.4832
2436.7275,1144.4832
2534.3489,1144.4832
2477.8934,1144.4832
2206.8945,1144.4832
1040.8729,1144.4832
93.423875,1144.4832
425.30454,1144.4832
1355.1012,1144.4832
2122.2185,1144.4832
2430.8578,1144.4832
2549.7753,1144.4832
2505.5434,1144.4832
2236.1667,1144.4832
1079.7043,1144.4832
97.017519,1144.4832
445.47816,1144.4832
1411.1547,1144.4832
2212.9796,1144.4832
2522.2383,1144.4832
2625.5014,1144.4832
2577.2011,1144.4832
2283.7003,1144.4832
1086.2028,1144.4832
103.20437,1144.4832
455.91293,1144.4832
1417.3211,1144.4832
2224.3277,1144.4832
2549.8831,1144.4832
2637.6611,1144.4832
2567.6217,1144.4832
2293.5854,1144.4832
1167.8618,1144.4832
114.485,1144.4832
473.56029,1144.4832
1441.6025,1144.4832
2175.1235,1144.4832
487.39034,1144.4832
1394.0949,1144.4832
2183.2921,1144.4832
2499.1097,1144.4832
2675.5011,1144.4832
2568.4284,1144.4832
2246.8706,1144.4832
1169.1853,1144.4832
115.48638,1144.4832
506.59034,1144.4832
1437.5185,1144.4832
2222.6927,1144.4832
2533.2102,1144.4832
2627.5657,1144.4832
2554.7255,1144.4832
2281.9892,1144.4832
1107.7147,1144.4832
130.56522,1144.4832
33.746162,1144.4832
335.80854,1144.4832
2133.7886,1144.4832
2506.0048,1144.4832
2555.6055,1144.4832
2361.4471,1144.4832
2239.379,1144.4832
1209.1943,1144.4832
116.31498,1144.4832
503.15395,1144.4832
1400.0511,1144.4832
2166.6904,1144.4832
2542.4739,1144.4832
2677.5709,1144.4832
2607.0784,1144.4832
2304.9839,1144.4832
1244.6791,1144.4832
135.79522,1144.4832
445.91228,1144.4832
1353.1714,1144.4832
2127.6647,1144.4832
2437.0792,1144.4832
2568.2777,1144.4832
2350.5334,1144.4832
968.71618,1144.4832
233.24195,1144.4832
40.214319,1144.4832
480.82352,1144.4832
1400.3916,1144.4832
2190.3046,1144.4832
2537.5603,1144.4832
2689.5167,1144.4832
2590.2565,1144.4832
2268.1099,1144.4832
1249.0877,1144.4832
143.9723,1144.4832
16.101307,1144.4832
491.01385,1144.4832
589.7025,1144.4832
1522.622,1144.4832
690.96898,1144.4832
291.16097,1144.4832
177.40503,1144.4832
156.05012,1144.4832
123.7152,1144.4832
17.422826,1144.4832
162.85673,1144.4832
1416.8051,1144.4832
1549.9781,1144.4832
1717.2196,1144.4832
1463.1401,1144.4832
774.13052,1144.4832
202.27496,1144.4832
332.33587,1144.4832
177.91597,1144.4832
553.33489,1144.4832
1457.4705,1144.4832
2219.2605,1144.4832
2595.2027,1144.4832
2724.477,1144.4832
2668.6514,1144.4832
2415.1739,1144.4832
1160.2291,1144.4832
127.90982,1144.4832
7.6198024,1144.4832
164.66754,1144.4832
315.74279,1144.4832
316.44196,1144.4832
870.24529,1144.4832
902.17283,1144.4832
357.74893,1144.4832
125.95566,1144.4832
25.226724,1144.4832
0.060569106,1144.4832
19.060523,1144.4832
155.21215,1144.4832
1137.9982,1144.4832
2176.6919,1144.4832
2204.0698,1144.4832
1544.6314,1144.4832
226.21317,1144.4832
480.20512,1144.4832
568.66697,1144.4832
639.75016,1144.4832
705.53718,1144.4832
709.37222,1144.4832
595.21168,1144.4832
288.75358,1144.4832
120.28781,1144.4832
54.593671,1144.4832
10.725232,1144.4832
176.33224,1144.4832
555.61982,1144.4832
487.8004,1144.4832
769.56467,1144.4832
411.2987,1144.4832
435.15191,1144.4832
46.973611,1144.4832
0.88722222,1144.4832
38.837352,1144.4832
43.892087,1144.4832
68.468864,1144.4832
44.855,1144.4832
26.84328,1144.4832
21.373333,1144.4832
9.8601908,1144.4832
39.840833,1144.4832
193.89462,1144.4832
674.70417,1144.4832
1512.4509,1144.4832
2386.7665,1144.4832
1902.4103,1144.4832
1494.7838,1144.4832
507.36284,1144.4832
112.26474,1144.4832
26.661348,1144.4832
480.965,1144.4832
1610.4259,1144.4832
2332.3159,1144.4832
2664.7049,1144.4832
2899.872,1144.4832
2822.5761,1144.4832
2520.3628,1144.4832
1566.4214,1144.4832
232.96167,1144.4832
34.047386,1144.4832
451.43028,1144.4832
457.51195,1144.4832
2283.9918,1144.4832
2709.7533,1144.4832
2898.309,1144.4832
2839.5309,1144.4832
2517.6672,1144.4832
1643.3694,1144.4832
240.32569,1144.4832
12.823696,1144.4832
622.10833,1144.4832
1555.0839,1144.4832
2207.8295,1144.4832
2033.3861,1144.4832
1495.0268,1144.4832
1601.2917,1144.4832
1587.797,1144.4832
900.9568,1144.4832
175.41141,1144.4832
25.198679,1144.4832
65.334722,1144.4832
128.55614,1144.4832
213.53037,1144.4832
529.23609,1144.4832
801.21361,1144.4832
1120.3043,1144.4832
522.36722,1144.4832
694.42378,1144.4832
197.23395,1144.4832
29.081699,1144.4832
600.64111,1144.4832
1563.6986,1144.4832
2254.5837,1144.4832
2634.1726,1144.4832
2805.2676,1144.4832
2768.1883,1144.4832
2471.2245,1144.4832
1233.002,1144.4832
279.1891,1144.4832
44.6431,1144.4832
469.03596,1144.4832
1433.8985,1144.4832
1932.6989,1144.4832
1754.4959,1144.4832
612.54616,1144.4832
115.7372,1144.4832
209.28936,1144.4832
178.17393,1144.4832
240.54478,1144.4832
3.9839181,1144.4832
212.73694,1144.4832
928.17262,1144.4832
814.1026,1144.4832
1170.5806,1144.4832
751.5643,1144.4832
258.036,1144.4832
77.371552,1144.4832
151.54448,1144.4832
3.274586,1144.4832
5.625,1144.4832
365.87528,1144.4832
1020.2754,1144.4832
2046.7212,1144.4832
1770.4435,1144.4832
1479.5331,1144.4832
1197.0767,1144.4832
1779.7003,1144.4832
2084.9414,1144.4832
366.52784,1144.4832
37.264069,1144.4832
612.4965,1144.4832
1516.1773,1144.4832
2128.6253,1144.4832
2607.9262,1144.4832
2741.3694,1144.4832
1843.9107,1144.4832
1555.8217,1144.4832
1418.3475,1144.4832
325.89532,1144.4832
109.07939,1144.4832
232.56139,1144.4832
696.74,1144.4832
424.49561,1144.4832
162.37921,1144.4832
1199.4147,1144.4832
344.17139,1144.4832
662.075,1144.4832
136.57458,1144.4832
38.921569,1144.4832
214.66867,1144.4832
435.98026,1144.4832
540.26354,1144.4832
609.03444,1144.4832
1231.1073,1144.4832
1338.748,1144.4832
1533.5819,1144.4832
274.12224,1144.4832
209.04958,1144.4832
61.186944,1144.4832
37.113781,1144.4832
44.916886,1144.4832
63.474352,1144.4832
11.048742,1144.4832
3.5764493,1144.4832
0.009444444,1144.4832
199.56072,1144.4832
621.0319,1144.4832
1270.4655,1144.4832
378.96399,1144.4832
155.8639,1144.4832
16.274753,1144.4832
60.412381,1144.4832
213.16447,1144.4832
411.75982,1144.4832
946.81661,1144.4832
770.66778,1144.4832
0.22459016,1144.4832
65.507917,1144.4832
69.335871,1144.4832
179.29113,1144.4832
509.22694,1144.4832
426.59295,1144.4832
411.4492,1144.4832
267.54383,1144.4832
63.384136,1144.4832
0.16192283,1144.4832
132.23905,1144.4832
205.54818,1144.4832
315.97245,1144.4832
552.13038,1144.4832
492.32998,1144.4832
552.04514,1144.4832
408.28072,1144.4832
263.97289,1144.4832
101.51705,1144.4832
0.36510417,1144.4832
760.53663,1144.4832
1800.9321,1144.4832
2446.9025,1144.4832
2848.8113,1144.4832
3042.2762,1144.4832
2976.7425,1144.4832
2661.2573,1144.4832
2012.8759,1144.4832
419.42047,1144.4832
32.106884,1144.4832
37.861475,1144.4832
119.46945,1144.4832
354.87786,1144.4832
1608.7156,1144.4832
1798.4442,1144.4832
2201.482,1144.4832
2514.8261,1144.4832
1983.4115,1144.4832
454.60693,1144.4832
38.520397,1144.4832
306.21257,1144.4832
810.41608,1144.4832
1653.5456,1144.4832
2594.6142,1144.4832
2495.5364,1144.4832
2034.5494,1144.4832
349.33594,1144.4832
508.95105,1144.4832
81.15272,1144.4832
524.29145,1144.4832
1511.2741,1144.4832
2160.7512,1144.4832
2625.0994,1144.4832
2183.5018,1144.4832
1644.59,1144.4832
532.01389,1144.4832
149.70222,1144.4832
12.351344,1144.4832
1.2752137,1144.4832
718.82787,1144.4832
1726.4683,1144.4832
2344.2967,1144.4832
2748.0358,1144.4832
2909.5366,1144.4832
2774.0572,1144.4832
2125.9102,1144.4832
650.15667,1144.4832
89.000525,1144.4832
1.1058824,1144.4832
380.55369,1144.4832
963.70243,1144.4832
734.79313,1144.4832
785.81806,1144.4832
1011.2157,1144.4832
943.20981,1144.4832
704.87833,1144.4832
298.18582,1144.4832
91.135834,1144.4832
84.115943,1144.4832
222.8959,1144.4832
495.7582,1144.4832
513.90689,1144.4832
637.55228,1144.4832
641.52067,1144.4832
1730.8477,1144.4832
2107.1092,1144.4832
294.9493,1144.4832
49.494442,1144.4832
3.2892303,1144.4832
20.289321,1144.4832
119.6423,1144.4832
202.60269,1144.4832
213.51918,1144.4832
325.59282,1144.4832
689.46341,1144.4832
455.77683,1144.4832
1116.084,1144.4832
188.75389,1144.4832
7.3594994,1144.4832
16.747443,1144.4832
747.95484,1144.4832
896.17405,1144.4832
1299.9747,1144.4832
2501.3443,1144.4832
2067.4558,1144.4832
402.96303,1144.4832
31.680455,1144.4832
6.7550505,1144.4832
81.04899,1144.4832
214.27725,1144.4832
388.70286,1144.4832
503.07919,1144.4832
428.09654,1144.4832
650.36148,1144.4832
751.18134,1144.4832
715.04669,1144.4832
245.03425,1144.4832
21.344653,1144.4832
729.90932,1144.4832
1783.8262,1144.4832
2390.095,1144.4832
2804.8013,1144.4832
2961.926,1144.4832
2867.343,1144.4832
2584.3651,1144.4832
2118.8114,1144.4832
680.90394,1144.4832
50.614814,1144.4832
564.36012,1144.4832
538.48395,1144.4832
946.53167,1144.4832
1643.1462,1144.4832
1484.1412,1144.4832
1133.0727,1144.4832
433.32806,1144.4832
320.20786,1144.4832
220.395,1144.4832
0.26018519,1144.4832
319.17873,1144.4832
776.38526,1144.4832
1343.0145,1144.4832
2648.7486,1144.4832
2977.094,1144.4832
2955.7583,1144.4832
2161.0413,1144.4832
2151.0257,1144.4832
782.56749,1144.4832
56.482041,1144.4832
299.88492,1144.4832
806.81349,1144.4832
1810.5113,1144.4832
2434.8074,1144.4832
2795.9993,1144.4832
2949.8806,1144.4832
2881.9097,1144.4832
1416.0774,1144.4832
424.62465,1144.4832
97.651824,1144.4832
0.063131313,1144.4832
66.971355,1144.4832
247.67075,1144.4832
329.8208,1144.4832
738.98194,1144.4832
1851.771,1144.4832
1015.2933,1144.4832
219.2571,1144.4832
1059.0576,1144.4832
794.39164,1144.4832
44.838407,1144.4832
317.83056,1144.4832
687.91423,1144.4832
1602.8818,1144.4832
1379.7537,1144.4832
1215.9592,1144.4832
479.02023,1144.4832
1395.4672,1144.4832
1448.713,1144.4832
323.25818,1144.4832
198.86434,1144.4832
43.092302,1144.4832
88.496643,1144.4832
289.35083,1144.4832
659.44101,1144.4832
750.74442,1144.4832
1409.4254,1144.4832
1964.5812,1144.4832
2458.3645,1144.4832
2154.2716,1144.4832
765.70439,1144.4832
30.36271,1144.4832
168.89293,1144.4832
721.24609,1144.4832
751.95215,1144.4832
2378.8787,1144.4832
1715.4383,1144.4832
860.72365,1144.4832
832.32777,1144.4832
241.875,1144.4832
107.38569,1144.4832
44.705959,1144.4832
181.53847,1144.4832
399.22861,1144.4832
1003.2059,1144.4832
1730.1885,1144.4832
2653.3225,1144.4832
2857.5967,1144.4832
